"CREATOR_ID","FOLLOWERS","FOLLOWING_COUNT","ENGAGEMENT","TOTAL_LIKES","DIGG_COUNT","VIDEO_COUNT","COLLAB_SCORE","HAS_BROADCAST_SCORE","PRICE_NUM","grp_ENTERTAINMENT","grp_LIFESTYLE","grp_FOOD","grp_BEAUTY","grp_FASHION","grp_GAMING","grp_TECH","grp_COMMERCE","grp_EDUCATION","grp_NEWS","grp_PETS_NATURE","grp_SPORTS","grp_TRAVEL","grp_FAMILY_KIDS","grp_HOME_DIY","grp_UNKNOWN","CATEGORY_GROUP_COUNT"
"edwardnhieuchuyen",12.8754418575853,6.38687931936265,2.59,17.9837249842327,10.1266711030504,9.38437770918244,79.1,"1",15.4249486703984,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"muoiphim",10.883710371704,0,2.27,12.9881483225646,7.66058546170326,4.55387689160054,74.6,"0",15.7614208498767,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"_nlbaotran",11.2657581398431,2.77258872223978,11.14,17.855046901297,5.50125821054473,9.77571099759397,80.7,"1",14.7318016898383,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ntpmm.ent",12.0708312202042,2.63905732961526,11.76,16.4616854262704,9.80372246434655,7.59689443814454,77.5,"0",13.9108216468591,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"h1_.sleepybeauty",10.5636207184773,2.39789527279837,4.95,13.1911447598624,4.53259949315326,5.85507192220243,74.8,"1",12.2060776455177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"thientu0612",13.6689819230771,5.79909265446053,5.51,16.3649558070148,8.87346805533363,6.06842558824411,70.2,"0",12.4802932678573,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
"nguyenletragiang2",12.8889194589814,4.34380542185368,2.81,16.4827388339907,9.18183801150347,5.47227067367148,89.4,"0",15.4249486703984,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,5
"quanghaikaratedo",13.2747427751516,5.44673737166631,2.15,16.1080454161149,7.27170370688737,7.0184017990692,85.9,"0",13.1223653774023,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"_tiennghi06_",14.8451303322882,4.91998092582813,2.97,17.7914469078978,8.56388591940822,6.84374994900622,91.5,"1",15.607270193859,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"catuverse01",11.2683156532894,3.25809653802148,2.54,12.5937165620013,6.64378973314767,4.49980967033027,76.7,"0",15.4249486703984,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"trinhle1707",14.5086582385241,2.484906649788,1.4,17.6720208746038,9.19927942461676,7.44483327389219,96.6,"1",17.8810612091743,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
"conangautumn",11.4219170194256,5.17614973257383,4.61,15.0964446812041,7.98173328669189,5.36597601502185,87.5,"0",14.7318016898383,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
